Month,Day,Time,State,F Scale,Injuries,Fatalities,PropLoss,Length,Width,NumberStates,F0
2,14,8:21:00,TX,2,0,0,1000000,0.68,300,1,No
2,14,8:27:00,TX,0,0,0,500000,0.6,30,1,Yes
2,14,8:34:00,TX,0,0,0,200000,0.4,200,1,Yes
2,14,8:38:00,TX,0,0,0,150000,0.76,100,1,Yes
2,14,8:40:00,TX,0,0,0,100000,1.49,150,1,Yes
2,15,10:30:00,SC,1,0,0,997000,4.92,60,1,No
2,15,10:53:00,NC,1,0,0,80000,3.18,60,1,No
2,19,22:36:00,TX,2,0,0,0,4.64,600,1,No
2,19,22:42:00,TX,0,0,0,0,1.61,100,1,Yes
2,19,22:43:00,TX,1,0,0,0,3,200,1,No
2,19,23:00:00,TX,0,0,0,0,0.7,100,1,Yes
2,19,23:16:00,TX,0,0,0,0,0.23,75,1,Yes
2,19,23:26:00,TX,1,0,0,0,9.75,300,1,No
2,19,23:48:00,TX,0,0,0,0,3,100,1,Yes
2,20,0:25:00,TX,2,0,0,0,9.4,200,1,No
2,20,0:28:00,TX,2,0,0,0,4.24,100,1,No
2,25,13:35:00,PA,2,0,0,300000,12.52,500,1,No
2,25,14:06:00,MD,1,0,0,0,8.44,125,1,No
2,25,14:15:00,PA,1,0,0,200000,1.7,100,1,No
2,25,18:18:00,MA,1,0,0,250000,2.9,100,1,No
2,25,18:23:00,MA,1,1,0,400000,4.64,200,1,No
2,28,15:53:00,IA,0,0,0,0,0.04,25,1,Yes
2,28,16:12:00,IL,1,0,0,100000,5.53,100,1,No
2,28,16:27:00,IL,0,0,0,0,1.75,50,1,Yes
2,28,16:41:00,IL,3,14,2,0,11.5,800,1,No
2,28,16:44:00,IL,1,0,0,0,2.62,75,1,No
2,28,16:58:00,IL,1,0,0,0,2.8,200,1,No
2,28,17:04:00,IL,0,0,0,0,1.2,200,1,Yes
2,28,17:07:00,IL,1,0,0,0,1.5,50,1,No
2,28,17:10:00,IL,0,0,0,0,0.07,25,1,Yes
2,28,17:15:00,IL,0,0,0,75000,0.89,100,1,Yes
2,28,17:26:00,IL,3,0,0,2000000,17.77,600,1,No
2,28,17:53:00,IL,2,0,0,0,4.5,75,1,No
2,28,18:40:00,MO,1,0,0,0,4.36,80,1,No
2,28,19:03:00,AR,1,4,0,50000,1.37,120,1,No
2,28,19:07:00,AR,2,1,0,70000,1.1,250,1,No
2,28,19:16:00,MO,0,0,0,0,4.44,50,1,Yes
2,28,19:51:00,MO,4,12,1,14800000,53.47,1100,2,No
