Month,Day,Time,State,f scale,Injuries,Fatalities,Prop loss,Length,Width,Number,F0,ln(length),,,,,,,,
1,2,1 12:40:0,0 G,A,1,0,30000,2.59,300,1,No,0.951657876,,,,,,,,
1,2,1 12:45:0,0 G,A,1,0,50000,1.3,300,1,No,0.262364264,,,,,,,,
1,2,1 12:46:0,0 G,A,1,0,60000,8.38,300,1,No,2.125847914,,,,,,,,
1,2,1 13:09:0,0 G,A,0,0,0,1.3,250,1,Yes,0.262364264,,,,,,,,
1,2,1 13:11:0,0 G,A,0,0,50000,4.8,200,1,Yes,1.568615918,,,,,,,,
1,2,1 13:23:0,0 G,A,0,0,0,1.5,100,1,Yes,0.405465108,,,,,,,,
1,2,1 13:40:0,0 G,A,1,0,0,1,75,1,No,0,,,,,,,,
1,2,1 13:42:0,0 G,A,0,0,0,0.69,50,1,Yes,-0.371063681,,,,,,,,
1,2,1 13:50:0,0 G,A,0,0,0,0.91,250,1,Yes,-0.094310679,,,,,,,,
1,2,1 13:52:0,0 G,A,1,0,0,2.7,525,1,No,0.993251773,,,,,,,,
1,2,1 14:47:0,0 S,C,2,1,0,13.78,1600,1,No,2.623218266,,,,,,,,
1,2,1 15:09:0,0 S,C,1,0,0,5.47,400,1,No,1.699278616,,,,,,,,
1,2,1 16:18:0,0 T,X,2,0,1000000,6.93,230,1,No,1.935859813,,,,,,,,
1,2,1 16:19:0,0 T,X,1,0,250000,0.81,100,1,No,-0.210721031,,,,,,,,
1,2,1 16:50:0,0 T,X,2,1,900000,13.36,800,2,No,2.592265168,,,,,,,,
1,2,1 16:50:0,0 T,X,2,1,825000,10.99,800,2,No,2.396985768,,,,,,,,
1,2,1 17:23:0,0 L,A,2,0,75000,2.37,400,2,No,0.862889955,,,,,,,,
1,2,1 17:12:0,0 L,A,2,1,825000,10.79,990,1,No,2.378619779,,,,,,,,
1,2,1 17:55:0,0 L,A,1,0,10000,3.5,350,1,No,1.252762968,,,,,,,,
1,2,1 17:56:0,0 L,A,2,1,500000,2.04,300,1,No,0.712949808,,,,,,,,
1,2,1 19:00:0,0 L,A,1,1,250000,2.23,150,1,No,0.802001585,,,,,,,,
1,2,1 19:04:0,12:00 AM,R,1,0,10000,2.89,75,1,No,1.061256502,,,,,,,,
1,2,1 19:38:0,12:00 AM,R,0,0,25000,0.61,50,1,Yes,-0.494296322,,,,,,,,
1,2,1 19:51:0,0 L,A,0,0,25000,1.24,150,1,Yes,0.21511138,,,,,,,,
1,2,1 20:29:0,0 L,A,0,0,90000,0.16,100,1,Yes,-1.832581464,,,,,,,,
1,2,1 20:45:0,12:00 AM,R,0,0,3000,0.67,50,1,Yes,-0.400477567,,,,,,,,
1,2,1 20:48:0,0 L,A,0,0,10000,0.62,50,1,Yes,-0.478035801,,,,,,,,
1,2,1 21:04:0,0 L,A,1,0,145000,8.87,300,1,No,2.182674796,,,,,,,,
1,2,1 22:44:0,0 M,S,2,1,175000,7.28,550,1,No,1.985130862,,,,,,,,
1,2,2 1:56:00,GA,2,3,0,270000,18.67,700,1,No,2.926917958,,,,,,,,
1,2,2 2:29:00,GA,3,4,5,11,2500000,24.66,700,1,No,3.205182498,,,,,,,
1,2,2 3:25:00,GA,1,0,0,0,0.59,250,1,No,-0.527632742,,,,,,,,
1,2,2 3:47:00,GA,1,0,0,0,3.11,1200,1,No,1.134622726,,,,,,,,
1,2,2 4:52:00,GA,1,0,0,0,11.12,1900,1,No,2.408745289,,,,,,,,
1,2,2 6:00:00,GA,1,0,0,250000,4.84,400,1,No,1.576914721,,,,,,,,
1,2,2 12:36:0,12:00 AM,L,0,0,0,0.28,200,1,Yes,-1.272965676,,,,,,,,
1,2,2 13:02:0,12:00 AM,L,1,0,100000,5.52,100,1,No,1.70837786,,,,,,,,
1,2,2 13:06:0,12:00 AM,L,1,0,0,1.98,320,1,No,0.683096845,,,,,,,,
1,2,2 13:38:0,0 G,A,2,1,650000,12.03,400,1,No,2.48740353,,,,,,,,
1,2,2 13:46:0,12:00 AM,L,0,0,0,4.76,200,1,Yes,1.560247668,,,,,,,,
1,2,2 13:50:0,0 F,L,1,0,0,2.36,350,1,No,0.858661619,,,,,,,,
1,2,2 14:00:0,12:00 AM,L,1,0,0,3.08,540,1,No,1.124929597,,,,,,,,
1,2,2 14:15:0,0 G,A,3,88,5,310300000,70.4,2200,1,No,4.254193263,,,,,,,
1,2,2 14:52:0,0 G,A,1,0,20000,6.93,300,1,No,1.935859813,,,,,,,,
1,2,2 15:00:0,0 G,A,1,0,10000,0.29,900,1,No,-1.237874356,,,,,,,,
1,2,2 15:15:0,0 G,A,1,0,20000,2.24,100,1,No,0.806475866,,,,,,,,
1,2,2 15:22:0,0 G,A,0,0,10000,0.56,50,1,Yes,-0.579818495,,,,,,,,
1,2,2 15:47:0,0 G,A,1,0,0,3.11,1200,1,No,1.134622726,,,,,,,,
1,2,2 17:26:0,0 G,A,1,0,0,16.64,120,1,No,2.811809435,,,,,,,,
1,2,2 17:29:0,0 G,A,1,0,0,1.65,120,1,No,0.500775288,,,,,,,,
1,2,3 0:25:00,FL,1,0,0,0,3.22,90,1,No,1.16938136,,,,,,,,
1,2,3 0:40:00,FL,1,0,0,1000000,5.79,130,1,No,1.756132292,,,,,,,,
1,2,3 2:45:00,FL,1,0,0,0,2.79,123,1,No,1.026041596,,,,,,,,
2,7,9:16:00,TN,0,0,0,15000,0.5,50,1,Yes,-0.693147181,,,,,,,,
2,7,10:20:00,LA,2,3,0,0,23.08,500,1,No,3.138966442,,,,,,,,
2,7,10:51:00,LA,0,0,0,0,0.95,25,1,Yes,-0.051293294,,,,,,,,
2,7,11:04:00,LA,1,0,1,0,6.13,75,1,No,1.81319475,,,,,,,,
2,7,11:12:00,LA,3,3,3,0,10.09,600,1,No,2.311544834,,,,,,,,
2,7,11:50:00,LA,3,3,0,0,6.43,350,1,No,1.860974538,,,,,,,,
2,7,12:20:00,LA,1,0,0,0,0.26,50,1,No,-1.347073648,,,,,,,,
2,7,13:42:00,AL,0,0,0,0,0.2,85,1,Yes,-1.609437912,,,,,,,,
2,7,15:23:00,AL,0,1,0,100000,0.51,150,1,Yes,-0.673344553,,,,,,,,
2,7,15:36:00,GA,1,0,0,150000,2.31,250,1,No,0.837247525,,,,,,,,
2,7,16:07:00,MS,2,0,0,350000,4.83,880,1,No,1.574846468,,,,,,,,
2,7,17:23:00,MS,1,0,0,100000,3.09,50,1,No,1.128171091,,,,,,,,
2,7,19:40:00,KY,0,0,0,25000,1.84,50,1,Yes,0.609765572,,,,,,,,
2,7,21:00:00,FL,1,0,0,0,1.06,75,1,No,0.058268908,,,,,,,,
2,7,21:37:00,FL,1,0,0,0,0.53,160,1,No,-0.634878272,,,,,,,,
2,9,2:51:00,GA,2,7,0,0,9.81,300,1,No,2.283402274,,,,,,,,
2,1,4 7:40:00,TX,0,0,0,10000,1,200,1,Yes,0,,,,,,,,
2,1,4 8:15:00,TX,1,6,0,900000,1.72,300,1,No,0.542324291,,,,,,,,
2,1,4 8:21:00,TX,2,0,0,1000000,0.68,300,1,No,-0.385662481,,,,,,,,
2,1,4 8:27:00,TX,0,0,0,500000,0.6,30,1,Yes,-0.510825624,,,,,,,,
2,1,4 8:34:00,TX,0,0,0,200000,0.4,200,1,Yes,-0.916290732,,,,,,,,
2,1,4 8:38:00,TX,0,0,0,150000,0.76,100,1,Yes,-0.274436846,,,,,,,,
2,1,4 8:40:00,TX,0,0,0,100000,1.49,150,1,Yes,0.39877612,,,,,,,,
2,1,5 10:30:0,0 S,C,1,0,997000,4.92,60,1,No,1.593308531,,,,,,,,
2,1,5 10:53:0,0 N,C,1,0,80000,3.18,60,1,No,1.156881197,,,,,,,,
2,1,9 22:36:0,0 T,X,2,0,0,4.64,600,1,No,1.534714366,,,,,,,,
2,1,9 22:42:0,0 T,X,0,0,0,1.61,100,1,Yes,0.476234179,,,,,,,,
2,1,9 22:43:0,0 T,X,1,0,0,3,200,1,No,1.098612289,,,,,,,,
2,1,9 23:00:0,0 T,X,0,0,0,0.7,100,1,Yes,-0.356674944,,,,,,,,
2,1,9 23:16:0,0 T,X,0,0,0,0.23,75,1,Yes,-1.46967597,,,,,,,,
2,1,9 23:26:0,0 T,X,1,0,0,9.75,300,1,No,2.277267285,,,,,,,,
2,1,9 23:48:0,0 T,X,0,0,0,3,100,1,Yes,1.098612289,,,,,,,,
2,2,0 0:25:00,TX,2,0,0,0,9.4,200,1,No,2.240709689,,,,,,,,
2,2,0 0:28:00,TX,2,0,0,0,4.24,100,1,No,1.444563269,,,,,,,,
2,2,5 13:35:0,12:00 PM,A,2,0,300000,12.52,500,1,No,2.527327366,,,,,,,,
2,2,5 14:06:0,0 M,D,1,0,0,8.44,125,1,No,2.132982309,,,,,,,,
2,2,5 14:15:0,12:00 PM,A,1,0,200000,1.7,100,1,No,0.530628251,,,,,,,,
2,2,5 18:18:0,0 M,A,1,0,250000,2.9,100,1,No,1.064710737,,,,,,,,
2,2,5 18:23:0,0 M,A,1,1,400000,4.64,200,1,No,1.534714366,,,,,,,,
2,2,8 15:53:0,0 I,A,0,0,0,0.04,25,1,Yes,-3.218875825,,,,,,,,
2,2,8 16:12:0,0 I,L,1,0,100000,5.53,100,1,No,1.710187816,,,,,,,,
2,2,8 16:27:0,0 I,L,0,0,0,1.75,50,1,Yes,0.559615788,,,,,,,,
2,2,8 16:41:0,0 I,L,3,14,0,11.5,800,1,No,2.442347035,,,,,,,,
2,2,8 16:44:0,0 I,L,1,0,0,2.62,75,1,No,0.963174318,,,,,,,,
2,2,8 16:58:0,0 I,L,1,0,0,2.8,200,1,No,1.029619417,,,,,,,,
2,2,8 17:04:0,0 I,L,0,0,0,1.2,200,1,Yes,0.182321557,,,,,,,,
2,2,8 17:07:0,0 I,L,1,0,0,1.5,50,1,No,0.405465108,,,,,,,,
2,2,8 17:10:0,0 I,L,0,0,0,0.07,25,1,Yes,-2.659260037,,,,,,,,
2,2,8 17:15:0,0 I,L,0,0,75000,0.89,100,1,Yes,-0.116533816,,,,,,,,
2,2,8 17:26:0,0 I,L,3,0,2000000,17.77,600,1,No,2.877511642,,,,,,,,
2,2,8 17:53:0,0 I,L,2,0,0,4.5,75,1,No,1.504077397,,,,,,,,
2,2,8 18:40:0,0 M,O,1,0,0,4.36,80,1,No,1.472472057,,,,,,,,
2,2,8 19:03:0,12:00 AM,R,1,4,50000,1.37,120,1,No,0.31481074,,,,,,,,
2,2,8 19:07:0,12:00 AM,R,2,1,70000,1.1,250,1,No,0.09531018,,,,,,,,
2,2,8 19:16:0,0 M,O,0,0,0,4.44,50,1,Yes,1.490654376,,,,,,,,
2,2,8 19:51:0,0 M,O,4,12,1,14800000,53.47,1100,2,No,3.979120749,,,,,,,
2,2,8 19:51:0,0 M,O,4,12,1,8000000,17.39,1100,2,No,2.855895328,,,,,,,
2,2,8 20:12:0,0 I,L,3,0,0,6800000,36.08,850,2,No,3.585738695,,,,,,,
2,2,8 19:54:0,0 M,I,1,0,0,0.57,100,1,No,-0.562118918,,,,,,,,
2,2,8 19:58:0,0 M,I,1,0,0,4.99,100,1,No,1.60743591,,,,,,,,
2,2,8 20:12:0,0 M,I,1,0,0,2.7,150,1,No,0.993251773,,,,,,,,
2,2,8 20:38:0,0 M,I,1,0,0,2.04,50,1,No,0.712949808,,,,,,,,
2,2,8 21:33:0,0 I,L,1,1,0,0.66,50,1,No,-0.415515444,,,,,,,,
2,2,8 21:43:0,0 I,L,1,0,0,2.33,50,1,No,0.845868268,,,,,,,,
2,2,8 21:55:0,0 I,L,3,2,1,5700000,44.13,440,2,No,3.787139823,,,,,,,
2,2,8 21:55:0,0 I,L,3,1,1,2000000,9.56,420,2,No,2.257587727,,,,,,,
2,2,8 22:08:0,0 I,N,3,1,3700000,34.57,440,2,No,3.542986254,,,,,,,,
2,2,8 22:35:0,0 K,Y,0,0,70000,8.8,30,1,Yes,2.174751721,,,,,,,,
2,2,8 22:37:0,0 K,S,0,0,50000,0.1,75,1,Yes,-2.302585093,,,,,,,,
2,2,8 22:43:0,0 K,S,0,0,10000,0.1,75,1,Yes,-2.302585093,,,,,,,,
2,2,8 22:44:0,0 I,L,1,0,6000,7.36,25,1,No,1.996059933,,,,,,,,
2,2,8 23:03:0,0 I,N,2,0,350000,5.8,150,1,No,1.757857918,,,,,,,,
2,2,8 23:28:0,0 K,Y,1,0,300000,8.58,400,1,No,2.149433913,,,,,,,,
