Rk.,Player,Result,Game Date,EV (MPH),LA (Â°),Pitch (MPH),Dist (ft),Vs.,var10
132,Starling Marte,home_run,2019,108.1,29,93.4,454,CHC,Graphs
133,Pete Alonso,home_run,2019,110,24,83.7,454,CHC,Graphs
134,Pete Alonso,home_run,2019,118.3,17,95.1,454,ATL,Graphs
135,Ronny Rodriguez,home_run,2019,111.1,30,92.4,454,MIN,Graphs
136,Mike Trout,home_run,2019,111,28,89.8,454,SEA,Graphs
137,Ian Desmond,home_run,2019,108.6,23,88.2,454,PIT,Graphs
138,Ian Desmond,home_run,2019,111.9,19,84.5,454,MIA,Graphs
139,Byron Buxton,home_run,2019,111,31,86.9,454,CLE,Graphs
140,Robel Garcia,home_run,2019,112.8,28,91.8,454,SF,Graphs
141,Trea Turner,home_run,2019,109.4,22,93,453,KC,Graphs
142,Yasiel Puig,home_run,2019,108.2,23,85.4,453,MIL,Graphs
143,George Springer,home_run,2019,111.3,29,95.7,453,CWS,Graphs
144,Kevin Cron,home_run,2019,111.4,24,92.5,453,TEX,Graphs
145,Matt Chapman,home_run,2019,109,26,75.9,453,HOU,Graphs
146,Ketel Marte,home_run,2019,107.2,29,90.7,453,NYY,Graphs
147,Hunter Dozier,home_run,2019,113.5,24,88.4,453,SEA,Graphs
148,Miguel Cabrera,home_run,2019,106,26,83.7,453,CWS,Graphs
149,Travis d'Arnaud,home_run,2019,107,33,90,453,BOS,Graphs
150,Brian Goodwin,home_run,2019,107.9,27,82.1,453,TEX,Graphs
151,Ryan McMahon,home_run,2019,108.9,22,89.3,453,ARI,Graphs
152,Miguel Sano,home_run,2019,111.3,24,90.3,452,BOS,Graphs
153,Lourdes Gurriel Jr.,home_run,2019,109.6,27,82.5,452,HOU,Graphs
154,Franmil Reyes,home_run,2019,106.6,31,92.4,452,BAL,Graphs
155,Yoan Moncada,home_run,2019,110.2,26,90.1,452,KC,Graphs
156,Michael Conforto,home_run,2019,110.9,35,84,452,KC,Graphs
157,Josh Bell,home_run,2019,106.3,27,85.6,452,COL,Graphs
158,Pete Alonso,home_run,2019,112,20,94.2,451,ATL,Graphs
159,Vladimir Guerrero Jr.,home_run,2019,113.7,20,88.8,451,SF,Graphs
160,Jon Berti,home_run,2019,108.9,22,95.9,451,COL,Graphs
161,Michael Chavis,home_run,2019,111.2,33,90.5,451,COL,Graphs
162,Randal Grichuk,home_run,2019,110.2,22,97.2,451,TB,Graphs
163,Pete Alonso,home_run,2019,110.6,23,90,451,ATL,Graphs
164,Eugenio Suarez,home_run,2019,110.8,27,81.7,451,LAA,Graphs
165,Josh Bell,home_run,2019,111.3,22,93.2,451,OAK,Graphs
166,Jorge Soler,home_run,2019,109.5,31,95.5,451,CLE,Graphs
167,Xander Bogaerts,home_run,2019,112.1,25,93.3,451,NYY,Graphs
168,Willy Adames,home_run,2019,110.9,27,91.1,450,LAA,Graphs
169,Renato Nunez,home_run,2019,112.7,26,93.9,450,BOS,Graphs
170,Nelson Cruz,home_run,2019,110.7,24,82.7,450,DET,Graphs
171,Yordan Alvarez,home_run,2019,112.2,24,91.2,450,TEX,Graphs
172,Jake Bauers,home_run,2019,107,24,94.4,450,OAK,Graphs
173,Jorge Soler,home_run,2019,115.7,26,91.4,450,DET,Graphs
174,Willson Contreras,home_run,2019,110.1,22,79.2,450,SEA,Graphs
175,Vladimir Guerrero Jr.,home_run,2019,113.6,23,86.1,450,BAL,Graphs
176,Matt Olson,home_run,2019,110.2,27,93.5,450,KC,Graphs
177,Harrison Bader,home_run,2019,108.3,30,91.8,450,COL,Graphs
178,Ryan Cordell,home_run,2019,108.8,23,91.4,450,DET,Graphs
179,Teoscar Hernandez,home_run,2019,112.1,23,85.3,450,KC,Graphs
180,Charlie Blackmon,home_run,2019,106.3,30,87.9,450,SD,Graphs
181,Yuli Gurriel,home_run,2019,106.5,22,78.2,450,COL,Graphs
182,Javier Baez,home_run,2019,106.3,27,88.6,449,PHI,Graphs
183,Will Smith,home_run,2019,101.9,29,91.9,449,COL,Graphs
184,Hunter Pence,home_run,2019,111.8,24,89.1,449,MIL,Graphs
185,Paul Goldschmidt,home_run,2019,110,31,92.1,449,SF,Graphs
186,Kyle Schwarber,home_run,2019,112.1,29,91.6,449,CIN,Graphs
187,Travis Shaw,home_run,2019,113,28,95.5,449,CIN,Graphs
188,Trevor Story,home_run,2019,106.9,35,88.5,449,SF,Graphs
189,Luke Voit,home_run,2019,109.7,32,93.5,449,DET,Graphs
190,Hunter Pence,home_run,2019,108.3,30,86.4,449,SEA,Graphs
191,Rowdy Tellez,home_run,2019,111.4,27,94.5,449,BAL,Graphs
192,J.D. Davis,home_run,2019,110.5,34,85.8,449,PIT,Graphs
193,Austin Hedges,home_run,2019,108.2,30,88.3,449,ARI,Graphs
194,Jason Kipnis,home_run,2019,103.3,25,79.5,449,TEX,Graphs
195,George Springer,home_run,2019,110.9,21,90.1,448,PIT,Graphs
196,Alex Avila,home_run,2019,107.9,32,96.2,448,MIL,Graphs
197,Ian Desmond,home_run,2019,108.9,21,91.4,448,STL,Graphs
198,Danny Santana,home_run,2019,106.8,28,81.9,448,MIL,Graphs
199,Jeimer Candelario,home_run,2019,114.2,26,84.2,448,CWS,Graphs
200,Sean Murphy,home_run,2019,110,26,93.8,448,HOU,Graphs
201,Carlos Correa,home_run,2019,108.9,23,93.7,448,BOS,Graphs
202,Trevor Story,home_run,2019,108.2,25,86.5,448,BAL,Graphs
203,Josh Naylor,home_run,2019,109.4,18,93.8,448,CHC,Graphs
204,David Peralta,home_run,2019,106.9,23,93.7,448,CHC,Graphs
205,Aristides Aquino,home_run,2019,108.9,25,91.9,448,LAA,Graphs
206,Pete Alonso,home_run,2019,106.1,31,75.6,448,COL,Graphs
207,Jose Altuve,home_run,2019,109.1,26,87.2,448,NYY,Graphs
